Variable,OLS_Coef,OLS_SE,Lag_ML_Coef,Lag_ML_SE,Lag_GMM_Coef,Lag_GMM_SE,Error_ML_Coef,Error_ML_SE,Error_GMM_Coef,Error_GMM_SE,OLS_tstat,OLS_sig,Lag_ML_tstat,Lag_ML_sig,Lag_GMM_tstat,Lag_GMM_sig,Error_ML_tstat,Error_ML_sig,Error_GMM_tstat,Error_GMM_sig
Constant,12.770515795197525,0.022697529106075864,6.632284421863949,0.11280687510208533,9.113213671637368,0.19020127600231507,12.821374752900738,0.03950181443058919,12.82165527255927,0.037236953111272245,562.6390315666125,***,58.793264292287326,***,47.91352541465834,***,324.5768564740204,***,344.32611159794226,***
AgeAtSale,-0.0008222018641792506,6.493658182927358e-05,-0.0008950266638801199,5.796779649032171e-05,-0.0008655925867282477,5.934872647668545e-05,-0.001569166060690852,6.562994351976887e-05,-0.001530821360130108,6.557553255091424e-05,-12.661612930919622,***,-15.440067038421121,***,-14.584855280227234,***,-23.909300793748088,***,-23.3443984452821,***
LandArea,1.0908305538968703e-05,6.647263489139715e-07,9.000336739276971e-06,5.905181465423527e-07,9.771493007988165e-06,6.099298064162299e-07,9.814288541632344e-06,6.311722709659157e-07,9.876083294136587e-06,6.318432585413864e-07,16.41021986986174,***,15.241422794500787,***,16.020684520080458,***,15.549302453691492,***,15.6305905944705,***
TotalFloorArea,0.002954998083778859,3.449451622655341e-05,0.002335244508970415,3.3277576631114026e-05,0.00258573437777998,3.6836017345731945e-05,0.0025750634232656333,3.387114168599625e-05,0.002593861907846634,3.390885990971548e-05,85.66573493511243,***,70.17471659240346,***,70.19581822624968,***,76.02529159299854,***,76.49510820337099,***
log_water_DIST,0.003990373038185613,0.0019051882200702315,0.0033913146574555963,0.0016893506408182178,0.003633440014238154,0.0017400986293342952,0.0006559910117878709,0.0028723383502554634,0.0007276092592274908,0.0027823108826161196,2.094477068537887,**,2.0074664048507134,**,2.0880655573116504,**,0.2283822209627663,,0.26151256632520614,
log_bus_DIST,0.01610059420831078,0.0023456255708658915,0.008111094278636639,0.0020836319233062325,0.011340262888438701,0.00215633894347576,0.016706960726587283,0.003319569250388607,0.01647235181474116,0.0032327512696435816,6.864093915196883,***,3.892767329925645,***,5.259035423327075,***,5.032870070305499,***,5.095459081377849,***
log_CBD_DIST,-0.04181860365214973,0.0012197176193614705,-0.025772749590594418,0.0011220788688503507,-0.03225810771031945,0.0012186827490887455,-0.04085101159379434,0.0026316753411122114,-0.04060489408439416,0.0024156106059135497,-34.28547967851938,***,-22.96875050948997,***,-26.469651543389812,***,-15.522815810756386,***,-16.80937067629655,***
log_cycleways_DIST,-0.027490073679942384,0.0018767949123308643,-0.016157995189147782,0.0016761090489569152,-0.020738155708258432,0.0017492478282254524,-0.020520086612179966,0.003676326914080701,-0.02179569677279858,0.0034421736179400435,-14.647350916889154,***,-9.64018134691374,***,-11.855470319089394,***,-5.581681687117099,***,-6.3319574176046745,***
Median_Income,2.2351526677774625e-06,1.516666266664974e-07,6.833843477870308e-07,1.3678643117664885e-07,1.3105727315399548e-06,1.465312185126821e-07,2.2750360100379837e-06,2.7512875287560996e-07,2.2843450250161195e-06,2.6030092219754145e-07,14.737274223764347,***,4.995995157622718,***,8.943983028616707,***,8.268986742605428,***,8.775785370758456,***
IMD_composite,-0.06048507022820715,0.002720286662802691,-0.016468572509562858,0.002526310900686121,-0.03425900920400515,0.0028302880911321906,-0.05371987943874945,0.004261587548168316,-0.05498417981324888,0.004102949768238084,-22.234814828629066,***,-6.518822566569362,***,-12.104424744373155,***,-12.605602684811423,***,-13.401134042364976,***
canopy_0_20,9.631765064760378e-05,2.032024302923138e-05,7.930639177945571e-05,1.802483418815147e-05,8.618194389395373e-05,1.8565792302087252e-05,0.0001017618668518773,1.7506337211771122e-05,0.00010183309681422587,1.76234435367677e-05,4.739985171882417,***,4.399840295429033,***,4.641975009289787,***,5.812858830541287,***,5.7782746375174625,***
canopy_20_50,3.6407303812976965e-05,5.05182966235729e-06,3.0328236666666247e-05,4.479422348038587e-06,3.27852531224887e-05,4.617613864225564e-06,1.7620268358713165e-05,4.789893412429959e-06,1.887216234616393e-05,4.791944969504711e-06,7.206756016391208,***,6.77056868280039,***,7.100042161707956,***,3.678634750616347,***,3.938309489416889,***
canopy_50_100,-1.699544243108017e-07,4.6888835084756945e-07,-7.586297192148114e-07,4.1591275841094483e-07,-5.207009627248779e-07,4.2861756296680847e-07,2.328195327194315e-07,4.810929988584616e-07,2.1708289330078616e-07,4.761147301372053e-07,-0.36246245828796897,,-1.824011655985901,*,-1.2148381394376047,,0.483938725510174,,0.4559466018583963,
canopy_100_200,2.1377620995025742e-09,2.1250286375862506e-07,-1.1170227995946695e-07,1.8851690775859482e-07,-6.569080320299129e-08,1.9410969062944093e-07,7.65709387313821e-07,2.6730653719827746e-07,7.324810152484445e-07,2.612088239970914e-07,0.010059921366192914,,-0.5925318916354559,,-0.3384210391041026,,2.864536705085697,***,2.804197055979245,***
year_2018,-0.001128205343462696,0.0042621385834356856,-0.00015647520161701138,0.003779255885124562,-0.0005492257489834174,0.0038927092199222846,-0.00047255150117653244,0.003609683479551446,-0.0005620843899638572,0.003637068670424362,-0.2647040497104756,,-0.04140370654257883,,-0.14109087474927867,,-0.13091217106804434,,-0.15454324372112416,
