Variable,VIF
AgeAtSale,1.3954858078867907
LandArea,1.0454224062698236
TotalFloorArea,1.5210722675977377
log_water_DIST,1.1835077558247926
log_bus_DIST,1.1396204025662906
log_CBD_DIST,1.2146213242682788
log_cycleways_DIST,1.1843258169837956
log_on_DIST,1.1253892090312483
Median_Income,1.7933270371520298
IMD_composite,2.4522596490176993
canopy_density_0_20,1.6420074369351763
canopy_density_20_50,2.6537882011606158
canopy_density_50_100,3.385122739535414
canopy_density_100_200,2.4802192567808556
year_2018,1.3947817545590608
year_2019,1.3987341859005573
DECILE_prim,1.9834364755746663
DECILE_high,1.5727336708369481
