Variable,VIF
AgeAtSale,1.1958897833049467
LandArea,1.049428019866414
TotalFloorArea,1.5089575271693312
log_water_DIST,1.0975481822693807
log_bus_DIST,1.0736483957868876
log_CBD_DIST,1.1432787896959948
log_cycleways_DIST,1.1574667901383542
Median_Income,1.775210993267711
IMD_composite,2.475988339667125
canopy_0_25,2.1043009342541388
canopy_25_50,2.7608558374103063
canopy_50_75,3.0228093305291854
canopy_75_100,3.0105166151374165
canopy_100_150,3.450696797060344
canopy_150_200,2.8880119890049016
canopy_200_400,2.068486344058476
year_2018,1.3964714059718222
year_2019,1.3964478856396325
DECILE_prim,1.9801153715158157
DECILE_high,1.5809017785076662
